"","X","ofcrec_cj_correct","ofcrec_vp_correct","ofcrec_speaker_correct","knowl_housemaj","knowl_senmaj","mode","validated_vote","dem_raceeth_x","gender_respondent_x","dem_edugroup_x","dem_eduspgroup_x","interest_attention","dem_age_r_x","justice_roberts","vp_biden","speaker_boehner","majority_house","majority_senate","mode_ftf","validated_voter16","race","female","college","spouse_educ","news_interest","age_cat6","pol_knowledge","treat","vote","v"
"46",154,0,1,0,1,1,"1. FTF (face-to-face) mode",1,1,"2. Female",4,5,3,30,0,1,0,0,1,1,1,1,1,1,2,2,2,2,1,1,0
"47",155,0,1,0,1,1,"1. FTF (face-to-face) mode",1,1,"2. Female",4,5,3,30,0,1,0,0,1,1,1,1,1,1,2,2,2,2,1,1,0
"48",156,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,NA,1,62,0,1,0,1,1,1,1,1,0,1,NA,3,5,3,2,1,1
"49",158,0,1,0,2,1,"1. FTF (face-to-face) mode",1,6,"2. Female",3,3,1,61,0,1,0,1,1,1,1,4,1,1,1,3,5,3,2,1,1
"50",159,0,1,0,2,1,"1. FTF (face-to-face) mode",0,6,"2. Female",3,3,1,61,0,1,0,1,1,1,0,4,1,1,1,3,5,3,2,0,1
"51",160,0,1,0,2,1,"1. FTF (face-to-face) mode",0,6,"2. Female",3,3,1,61,0,1,0,1,1,1,0,4,1,1,1,3,5,3,2,0,1
"52",161,0,1,0,2,1,"1. FTF (face-to-face) mode",1,6,"2. Female",3,3,1,61,0,1,0,1,1,1,1,4,1,1,1,3,5,3,2,1,1
"53",162,0,1,0,2,1,"1. FTF (face-to-face) mode",0,5,"1. Male",3,1,4,40,0,1,0,1,1,1,0,3,0,1,0,1,3,3,2,0,0
"54",163,0,1,0,2,1,"1. FTF (face-to-face) mode",1,5,"1. Male",3,1,4,40,0,1,0,1,1,1,1,3,0,1,0,1,3,3,2,1,0
"55",184,0,1,0,1,2,"1. FTF (face-to-face) mode",0,5,"2. Female",2,2,2,50,0,1,0,0,0,1,0,3,1,0,0,3,4,1,0,0,1
"56",185,0,1,0,1,2,"1. FTF (face-to-face) mode",0,5,"2. Female",2,2,2,50,0,1,0,0,0,1,0,3,1,0,0,3,4,1,0,0,1
"57",187,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,3,2,65,0,1,0,1,1,1,1,1,0,1,1,3,6,3,2,1,1
"58",188,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,3,2,65,0,1,0,1,1,1,1,1,0,1,1,3,6,3,2,1,1
"59",189,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,3,2,65,0,1,0,1,1,1,1,1,0,1,1,3,6,3,2,1,1
"60",190,0.5,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",5,5,1,77,1,1,1,1,1,1,1,1,0,1,2,3,6,5,4,1,1
"61",191,0.5,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",5,5,1,77,1,1,1,1,1,1,1,1,0,1,2,3,6,5,4,1,1
"62",192,0.5,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",5,5,1,77,1,1,1,1,1,1,1,1,0,1,2,3,6,5,4,1,1
"63",199,0,1,0,2,2,"1. FTF (face-to-face) mode",1,6,"1. Male",1,4,2,72,0,1,0,1,0,1,1,4,0,0,2,3,6,2,1,1,1
"64",200,0,1,0,2,2,"1. FTF (face-to-face) mode",1,6,"1. Male",1,4,2,72,0,1,0,1,0,1,1,4,0,0,2,3,6,2,1,1,1
"65",201,0,1,0,2,2,"1. FTF (face-to-face) mode",1,6,"1. Male",1,4,2,72,0,1,0,1,0,1,1,4,0,0,2,3,6,2,1,1,1
"66",202,0.5,1,0,2,2,"1. FTF (face-to-face) mode",1,1,"2. Female",1,3,1,49,1,1,0,1,0,1,1,1,1,0,1,3,4,3,2,1,1
"67",203,0.5,1,0,2,2,"1. FTF (face-to-face) mode",0,1,"2. Female",1,3,1,49,1,1,0,1,0,1,0,1,1,0,1,3,4,3,2,0,1
"68",204,0.5,1,0,2,2,"1. FTF (face-to-face) mode",0,1,"2. Female",1,3,1,49,1,1,0,1,0,1,0,1,1,0,1,3,4,3,2,0,1
"69",205,0.5,1,0,2,2,"1. FTF (face-to-face) mode",0,1,"2. Female",1,3,1,49,1,1,0,1,0,1,0,1,1,0,1,3,4,3,2,0,1
"70",206,0.5,1,0,2,2,"1. FTF (face-to-face) mode",1,1,"2. Female",1,3,1,49,1,1,0,1,0,1,1,1,1,0,1,3,4,3,2,1,1
"71",207,0,1,0,1,1,"1. FTF (face-to-face) mode",0,1,"2. Female",4,NA,3,49,0,1,0,0,1,1,0,1,1,1,NA,2,4,2,1,0,0
"72",216,0,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",NA,NA,2,80,0,1,1,1,1,1,1,1,1,NA,NA,3,6,4,3,1,1
"73",226,0,0,0,2,1,"1. FTF (face-to-face) mode",0,3,"2. Female",3,4,4,55,0,0,0,1,1,1,0,4,1,1,2,1,5,2,1,0,0
"74",228,0.5,1,0,2,1,"1. FTF (face-to-face) mode",1,5,"1. Male",2,1,3,49,1,1,0,1,1,1,1,3,0,0,0,2,4,4,3,1,0
"75",229,1,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",3,4,2,23,1,1,1,1,1,1,1,1,0,1,2,3,1,5,4,1,1
"76",232,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",3,3,3,43,0,1,0,1,1,1,1,1,1,1,1,2,3,3,2,1,0
"77",233,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",3,3,3,43,0,1,0,1,1,1,1,1,1,1,1,2,3,3,2,1,0
"78",234,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",3,3,3,43,0,1,0,1,1,1,1,1,1,1,1,2,3,3,2,1,0
"79",242,0,1,0,2,2,"1. FTF (face-to-face) mode",1,1,"1. Male",2,2,2,40,0,1,0,1,0,1,1,1,0,0,0,3,3,2,1,1,1
"80",243,0,1,0,2,2,"1. FTF (face-to-face) mode",1,1,"1. Male",2,2,2,40,0,1,0,1,0,1,1,1,0,0,0,3,3,2,1,1,1
"81",245,0,1,0,2,2,"1. FTF (face-to-face) mode",1,1,"1. Male",2,2,2,40,0,1,0,1,0,1,1,1,0,0,0,3,3,2,1,1,1
