"","X","V162076a","V162076b","V162072","V162073a","V162073b","V161515","V161516","V160501","V162062x","vote2016","V161310x","V161342","V161270","V161272","V161003","V161267c","justice_roberts","vp_biden","speaker_ryan","majority_house","majority_senate","mode_ftf","validated_vote","race","female","college","spouse_educ","news_interest","dem_age_r_x","age_cat6","pol_knowledge","treat","vote","v"
"822",961,0,0,1,1,1,2,1,"1. FTF/CASI",2,1,1,2,9,10,"2. Most of the time",1951,0,1,1,1,0,1,1,1,1,0,1,4,65,6,3,2,1,2
"823",962,0,0,1,0,0,2,2,"1. FTF/CASI",1,1,2,1,13,9,"2. Most of the time",1971,0,1,0,1,1,1,1,2,0,1,0,4,45,4,3,2,1,2
"824",963,0.5,0,1,0,0.5,1,2,"1. FTF/CASI",5,1,1,1,7,NA,"4. Some of the time",1998,1,1,1,0,1,1,1,1,0,0,NA,2,18,1,4,3,1,0
"825",964,0,0,1,1,1,2,2,"1. FTF/CASI",2,1,1,1,13,13,"2. Most of the time",1983,0,1,1,1,1,1,1,1,0,1,2,4,33,2,4,3,1,2
"826",965,0,0,1,0,0,1,1,"1. FTF/CASI",1,1,5,1,10,NA,"3. About half the time",1992,0,1,0,0,0,1,1,3,0,1,NA,3,24,1,1,0,1,1
"827",966,0,0,1,1,1,2,1,"1. FTF/CASI",2,1,1,1,10,10,"1. Always",1987,0,1,1,1,0,1,1,1,0,1,1,5,29,2,3,2,1,3
"828",967,1,1,1,1,1,2,2,"1. FTF/CASI",1,1,1,1,16,NA,"1. Always",1967,1,1,1,1,1,1,1,1,0,1,NA,5,49,4,5,4,1,3
"829",968,0,0,0,0,0,1,1,"1. FTF/CASI",-2,0,1,2,5,NA,"1. Always",1934,0,0,0,0,0,1,0,1,1,0,NA,5,82,6,0,0,0,3
"830",969,0,0,0,0,0,2,2,"1. FTF/CASI",-2,0,1,2,10,NA,"4. Some of the time",1984,0,0,0,1,1,1,0,1,1,1,NA,2,32,2,2,1,0,0
"831",970,0,0,1,0,0,2,2,"1. FTF/CASI",2,1,1,1,13,14,"3. About half the time",1969,0,1,0,1,1,1,1,1,0,1,2,3,47,4,3,2,1,1
"832",971,0,0,0,1,0.5,2,2,"1. FTF/CASI",2,1,1,2,11,NA,"4. Some of the time",1963,0,0,1,1,1,1,1,1,1,1,NA,2,53,4,3,2,1,0
"833",972,0,0,1,0,0,2,1,"1. FTF/CASI",-2,1,1,2,10,9,"4. Some of the time",1997,0,1,0,1,0,1,1,1,1,1,0,2,19,1,2,1,1,0
"834",973,0,0,1,0,0,2,2,"1. FTF/CASI",1,1,2,2,11,NA,"3. About half the time",1969,0,1,0,1,1,1,1,2,1,1,NA,3,47,4,3,2,1,1
"835",974,0,0,1,1,1,2,2,"1. FTF/CASI",1,1,1,2,11,13,"1. Always",1945,0,1,1,1,1,1,1,1,1,1,2,5,71,6,4,3,1,3
"836",975,0,0,0,0,0,2,1,"1. FTF/CASI",-2,0,6,1,9,NA,"4. Some of the time",1959,0,0,0,1,0,1,0,4,0,0,NA,2,57,5,1,0,0,0
"837",976,0,0,0,0,0,1,2,"1. FTF/CASI",-2,0,1,1,9,NA,"2. Most of the time",1952,0,0,0,0,1,1,0,1,0,0,NA,4,64,5,1,0,0,2
"838",977,0,0,1,0,0,2,1,"1. FTF/CASI",1,1,3,2,12,NA,"1. Always",1957,0,1,0,1,0,1,1,4,1,1,NA,5,59,5,2,1,1,3
"839",979,0,0,1,0,0,1,1,"1. FTF/CASI",-2,0,1,2,13,NA,"3. About half the time",1968,0,1,0,0,0,1,0,1,1,1,NA,3,48,4,1,0,0,1
"840",981,0,0,1,0,0,1,2,"1. FTF/CASI",-2,0,NA,2,13,NA,"1. Always",-9,0,1,0,0,1,1,0,NA,1,1,NA,5,NA,NA,2,1,0,3
"841",984,0,0,0,0,0,2,1,"1. FTF/CASI",-2,1,6,2,10,NA,"3. About half the time",1958,0,0,0,1,0,1,1,4,1,1,NA,3,58,5,1,0,1,1
"842",985,0,0,0,0,0,2,2,"1. FTF/CASI",-2,0,5,1,7,9,"4. Some of the time",1980,0,0,0,1,1,1,0,3,0,0,0,2,36,3,2,1,0,0
"843",986,0,0,0,0,0,2,1,"1. FTF/CASI",2,1,2,1,7,NA,"1. Always",1997,0,0,0,1,0,1,1,2,0,0,NA,5,19,1,1,0,1,3
"844",987,0.5,0,1,1,1,2,2,"1. FTF/CASI",2,1,1,2,13,NA,"1. Always",1969,1,1,1,1,1,1,1,1,1,1,NA,5,47,4,5,4,1,3
"845",988,0,0,1,1,1,2,2,"1. FTF/CASI",2,1,1,2,13,13,"3. About half the time",1985,0,1,1,1,1,1,1,1,1,1,2,3,31,2,4,3,1,1
"846",989,0,0,1,1,1,2,2,"1. FTF/CASI",1,1,2,2,10,NA,"4. Some of the time",1944,0,1,1,1,1,1,1,2,1,1,NA,2,72,6,4,3,1,0
"847",990,0,0,1,0,0,2,1,"1. FTF/CASI",-2,0,1,2,11,NA,"4. Some of the time",1962,0,1,0,1,0,1,0,1,1,1,NA,2,54,4,2,1,0,0
